5.760000000000000000e+02,3.390000000000000000e+02
6.350000000000000000e+02,3.300000000000000000e+02
5.580000000000000000e+02,2.810000000000000000e+02
5.780000000000000000e+02,3.030000000000000000e+02
6.660000000000000000e+02,3.440000000000000000e+02
5.800000000000000000e+02,3.070000000000000000e+02
5.550000000000000000e+02,3.000000000000000000e+02
6.610000000000000000e+02,3.430000000000000000e+02
6.510000000000000000e+02,3.360000000000000000e+02
6.050000000000000000e+02,3.130000000000000000e+02
6.530000000000000000e+02,3.120000000000000000e+02
5.750000000000000000e+02,2.740000000000000000e+02
5.450000000000000000e+02,2.760000000000000000e+02
5.720000000000000000e+02,2.880000000000000000e+02
5.940000000000000000e+02,2.960000000000000000e+02
